"COURSE","ITYPE","SECTION","SUFFIX","EXTERNAL_ID","DATE_PATTERN","DAY","START_TIME","END_TIME","ROOM","INSTRUCTOR","SCHEDULE_NOTE"
"CS AI","Lec  ","1","","1","Full Term","MTTh","10:30a","11:30a","AC NC-10","Vahida Attar","TY-Div1"
"CS AI","Lec  ","2","","2","Full Term","MWTh","3:30p","4:30p","AC NC-09","Anish Khobragade","TY-Div2"
"CS AI","Lab  ","1","","1","Full Term","W","12:30p","2:30p","AC AC-203NC-07","Vahida Attar","TY1-T1"
"CS AI","Lab  ","2","","2","Full Term","W","2:30p","4:30p","AC NC-08","Vahida Attar","TY1-T2"
"CS AI","Lab  ","3","","3","Full Term","F","1:30p","3:30p","AC NC-14","Vahida Attar","TY1-T3"
"CS AI","Lab  ","4","","4","Full Term","F","10:30a","12:30p","AC AC-201NC-05","Vahida Attar","TY1-T4"
"CS AI","Lab  ","5","","5","Full Term","F","3:30p","5:30p","AC NC-11","Vahida Attar","TY1-T5"
"CS AI","Lab  ","6","","6","Full Term","F","8:30a","10:30a","AC AC-203NC-07","Anish Khobragade","TY2-T1"
"CS AI","Lab  ","7","","7","Full Term","T","2:30p","4:30p","CSED DML","Anish Khobragade","TY2-T2"
"CS AI","Lab  ","8","","8","Full Term","T","10:30a","12:30p","ENTCX SH","Anish Khobragade","TY2-T3"
"CS AI","Lab  ","9","","9","Full Term","Th","10:30a","12:30p","ENTCX SH","Anish Khobragade","TY2-T4"
"CS AI","Lab  ","10","","10","Full Term","Th","1:30p","3:30p","AC NC-13","Anish Khobragade","TY2-T5"
"CS AI","Lab  ","11","","11","Full Term","M","10:30a","12:30p","AC AC-202NC-06","Anish Khobragade","TY2-T6"
"CS AIMA","Lec  ","1","","1","Full Term","MTTh","1:30p","2:30p","AC NC-02","Ashwini Gavade","FY-AIMA1"
"CS AIMA","Lec  ","2","","2","Full Term","MTTh","9:30a","10:30a","AC NC-02","Swati Atone","FY-AIMA2"
"CS AIMA","Lec  ","3","","3","Full Term","MTTh","3:30p","4:30p","AC NC-02","Pranoti Patil","FY-AIMA3"
"CS CN","Lec  ","1","","1","Full Term","MWF","2:30p","3:30p","AC NC-10","Satish Kumbhar","TY-Div1"
"CS CN","Lec  ","2","","2","Full Term","TThF","8:30a","9:30a","AC NC-09","Satish Kumbhar","TY-Div2"
